,Brite,Definition,Ensembl,Entry,KO,Module,Motif,Other DBs,Pathway,Gene_ID,Protein_ID,UniProt
0,"Chromosome [BR:cre03036] ?Eukaryotic Type  Nucleosome assembly factors  Histones  CHLREDRAFT_100005 (HTB15) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_100005 (HTB15)",(RefSeq) histone H2B,CHLREDRAFT_100005,CHLREDRAFT_100005?CDS T01039,K11252 histone H2B,,Pfam:?Histone CBFD_NFYB_HMF YscO-like TFIID_20kDa 4HB_MCP_1 DUF3915 NPR3,NCBI-GeneID:?5716448NCBI-ProteinID:?XP_001690807JGI:?100005UniProt:?A8IJR6,,5716448,XP_001690807,A8IJR6
1,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.17 Ca2+/calmodulin-dependent protein kinase  CHLREDRAFT_100074 (STPK3) Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: Other group  CAMKK family  CHLREDRAFT_100074 (STPK3),(RefSeq) serine/threonine protein kinase 3,CHLREDRAFT_100074,CHLREDRAFT_100074?CDS T01039,K07359 calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17],,Pfam:?Pkinase Pkinase_Tyr APH Kinase-like Kdo Seadorna_VP7 RIO1,NCBI-GeneID:?5716625NCBI-ProteinID:?XP_001691085JGI:?100074UniProt:?A8IL34,,5716625,XP_001691085,A8IL34
2,"Enzymes [BR:cre01000] ?3. Hydrolases  3.5 Acting on carbon-nitrogen bonds, other than peptide bonds  3.5.4 In cyclic amidines  3.5.4.- CHLREDRAFT_100164 Transfer RNA biogenesis [BR:cre03016] ?Eukaryotic Type  tRNA modification factors  Deaminases  CHLREDRAFT_100164",(RefSeq) hypothetical protein,CHLREDRAFT_100164,CHLREDRAFT_100164?CDS T01039,K15441 tRNA-specific adenosine deaminase 2 [EC:3.5.4.-],,Pfam:?dCMP_cyt_deam_1 MafB19-deam Bd3614-deam,NCBI-GeneID:?5716546NCBI-ProteinID:?XP_001691042JGI:?100164UniProt:?A8IKI1,,5716546,XP_001691042,A8IKI1
3,,(RefSeq) hypothetical protein,CHLREDRAFT_100208,CHLREDRAFT_100208?CDS T01039,,,Pfam:?LRR_8 LRR_4 LRR_9,NCBI-GeneID:?5716431NCBI-ProteinID:?XP_001690800JGI:?100208UniProt:?A8IJL5,,5716431,XP_001690800,A8IJL5
4,Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  90S particles  Other 90S particles  CHLREDRAFT_100228,(RefSeq) hypothetical protein,CHLREDRAFT_100228,CHLREDRAFT_100228?CDS T01039,K06961 ribosomal RNA assembly protein,,Pfam:?KH_1,NCBI-GeneID:?5716516NCBI-ProteinID:?XP_001690845JGI:?100228UniProt:?A8IKA1,,5716516,XP_001690845,A8IKA1
5,,(RefSeq) fibrocystin-L-like protein,CHLREDRAFT_10029,CHLREDRAFT_10029 CDS T01039,,,Pfam:?G8 TIG PA14 Beta_helix GLEYA A2M_N,NCBI-GeneID:?5716128NCBI-ProteinID:?XP_001690399JGI:?10029UniProt:?A8IGC9,,5716128,XP_001690399,A8IGC9
6,Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.4 Acting on acid anhydrides to facilitate cellular and subcellular movement  3.6.4.13 RNA helicase  CHLREDRAFT_100494 Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA surveillance and transport factors  Transport factors  Other transport factors  CHLREDRAFT_100494,(RefSeq) hypothetical protein,CHLREDRAFT_100494,CHLREDRAFT_100494?CDS T01039,K18655 ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13],,Pfam:?DEAD Helicase_C ResIII NACHT,NCBI-GeneID:?5716869NCBI-ProteinID:?XP_001691375JGI:?100494UniProt:?A8IMW9,,5716869,XP_001691375,A8IMW9
7,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03013 RNA transport  CHLREDRAFT_100523 Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA surveillance and transport factors  Transport factors  eIF4F and regulatory proteins  CHLREDRAFT_100523  mRNA cycle factors  Stress granule specific factors  CHLREDRAFT_100523 Translation factors [BR:cre03012] ?Eukaryotic Type  Initiation factors  eIF-4  CHLREDRAFT_100523,(RefSeq) hypothetical protein,CHLREDRAFT_100523,CHLREDRAFT_100523?CDS T01039,K03260 translation initiation factor 4G,cre_M00428 eIF4F complex,Pfam:?MIF4G CNOT1_CAF1_bind PDT,NCBI-GeneID:?5717392NCBI-ProteinID:?XP_001691657JGI:?100523UniProt:?A8IQZ3,cre03013 RNA transport,5717392,XP_001691657,A8IQZ3
8,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03022 Basal transcription factors  CHLREDRAFT_100548  Replication and repair  03420 Nucleotide excision repair  CHLREDRAFT_100548 Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.4 Acting on acid anhydrides to facilitate cellular and subcellular movement  3.6.4.12 DNA helicase  CHLREDRAFT_100548 Transcription machinery [BR:cre03021] ?Eukaryotic type  RNA polymerase II system  Basal transcription factors  TFIIH  CHLREDRAFT_100548 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  NER (nucleotide excision repair)  TFIIH complex  CHLREDRAFT_100548,(RefSeq) hypothetical protein,CHLREDRAFT_100548,CHLREDRAFT_100548?CDS T01039,K10844 DNA excision repair protein ERCC-2 [EC:3.6.4.12],,Pfam:?Helicase_C_2 HBB,NCBI-GeneID:?5717204NCBI-ProteinID:?XP_001691713JGI:?100548UniProt:?A8IRC4,cre03022 Basal transcription factorscre03420 Nucleotide excision repair,5717204,XP_001691713,A8IRC4
9,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_100573 Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.1 In phosphorus-containing anhydrides  3.6.1.29 bis(5'-adenosyl)-triphosphatase  CHLREDRAFT_100573,(RefSeq) hypothetical protein,CHLREDRAFT_100573,CHLREDRAFT_100573?CDS T01039,K01522 bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29],,Pfam:?HIT DcpS_C,NCBI-GeneID:?5717353NCBI-ProteinID:?XP_001691629JGI:?100573UniProt:?A8IQT7,cre00230 Purine metabolism,5717353,XP_001691629,A8IQT7
